Variable	Layer	Type	Definition	Allowed_Values_or_Format	Missing_Data
Analysis_Row_ID	provenance	text_or_category	Stable row identifier combining source alias and original worksheet row.	See observed values in the released files	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Source_Alias	provenance	text_or_category	Unique corpus-source alias used across the release.	See observed values in the released files	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Period	provenance	text_or_category	Historical stage: OJ, EMJ, LMJ, or cNJ.	See observed values in the released files	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Text_Key	provenance	text_or_category	Short text identifier shared by paired versions where applicable.	See observed values in the released files	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Work	provenance	text_or_category	Work or source collection represented by the file.	See observed values in the released files	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Genre_Register	provenance	text_or_category	Genre or register assigned to the text.	See observed values in the released files	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Source_Role	provenance	text_or_category	Role of the source in the corpus, such as original or translation.	See observed values in the released files	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Source_Workbook	provenance	text_or_category	Basename of the original annotation workbook; local directory path removed for public release.	See observed values in the released files	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Source_Sheet	provenance	text_or_category	Original worksheet from which the row was loaded.	See observed values in the released files	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Source_Row	provenance	integer	One-based row number in the original source worksheet.	integer or documented n/a	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Source_SHA256	provenance	text_or_category	SHA-256 checksum of the original source workbook.	See observed values in the released files	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Pair_Group	provenance	text_or_category	Identifier linking comparable original and cNJ translation datasets.	See observed values in the released files	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Text	locked_annotation	text_or_category	Text label retained from the locked annotation.	See observed values in the released files	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Treebank_Entry_ID	locked_annotation	text_or_category	Source treebank or legacy entry identifier.	See observed values in the released files	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Clause_ID	locked_annotation	text_or_category	Stable clause identifier within the corpus.	See observed values in the released files	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Japanese_Clause_Original	locked_annotation	text_or_category	Japanese clause span exactly as retained at annotation lock.	See observed values in the released files	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Clause_Romanisation	locked_annotation	text_or_category	Romanised clause text.	See observed values in the released files	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Clause_Gloss	locked_annotation	text_or_category	Morphological or word-level gloss.	See observed values in the released files	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Translation	locked_annotation	text_or_category	English translation of the annotated clause where available.	See observed values in the released files	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Treebank_Node_Label	locked_annotation	text_or_category	Source treebank node label or documented no-source marker.	See observed values in the released files	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Predicate_Form	locked_annotation	text_or_category	Surface form of the annotated predicate.	See observed values in the released files	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Predicate_Lemma	locked_annotation	text_or_category	Normalized predicate lemma.	See observed values in the released files	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Predicate_Main_Lemma_ID	locked_annotation	text_or_category	External or project lemma identifier where available.	See observed values in the released files	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Predicate_Morphology	locked_annotation	text_or_category	Annotated predicate morphology.	See observed values in the released files	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Predicate_Type	locked_annotation	text_or_category	Structural predicate type.	LVC | LVC (J) | LVC (J, inf) | adjectival predicate | compound verb | copula | existential verb | idiom | none | verb | verb (complex)	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Predicate_Status	locked_annotation	text_or_category	Whether the predicate is counted, excluded, audit-only, or a zero predicate.	counted | excluded | audit_only | zero_predicate	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Verb_Semantic_Class	locked_annotation	text_or_category	CoS semantic macro-class of the predicate.	action | aux/modal | cognition/evaluation | communication | motion | other | perception | psych-state | stative	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Predicate_Transitivity	locked_annotation	text_or_category	Strict surface-based transitivity classification.	intransitive | transitive | ditransitive | n/a	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Voice_Type	locked_annotation	text_or_category	Voice classification; honorific morphology alone is not passive.	active | causative | causative-passive | n/a | passive | resultative	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Modality	locked_annotation	text_or_category	Dominant contextual modality.	deontic | desiderative | dynamic | epistemic | evidential | hortative | imperative | indicative | unknown	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
LVC	locked_annotation	text_or_category	Light-verb-construction classification.	LVC | non_LVC | n/a	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Clause_Type	locked_annotation	text_or_category	Unified CoS clause type.	complement | inf | main | nominalised | none | relative | subordinate | te	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Adnominal_Function	locked_annotation	text_or_category	Function of an adnominal clause where applicable.	REL | OBJ | SUB | kakari-musubi | n/a	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Clause_Polarity	locked_annotation	text_or_category	Positive or negative polarity.	positive | negative	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Connective_Type	locked_annotation	text_or_category	Semantic or structural type of clause connective.	none | conditional | concessive | causal | temporal | purpose | sequential | quotative | conjunctive	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Connective_Form	locked_annotation	text_or_category	Surface form or morphology of the connective.	See observed values in the released files	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Prev_Clause_Type	locked_annotation	text_or_category	Unified clause type of the preceding clause or boundary marker.	See observed values in the released files	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Next_Clause_Type	locked_annotation	text_or_category	Unified clause type of the following clause or boundary marker.	See observed values in the released files	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Te_Position	locked_annotation	text_or_category	Position of a te/de clause within its chain where applicable.	See observed values in the released files	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Switch_Ref	locked_annotation	text_or_category	Subject-reference relation to the preceding clause.	See observed values in the released files	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Next_Switch_Ref	locked_annotation	text_or_category	Subject-reference relation to the following clause.	See observed values in the released files	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Is_ChainClause	locked_annotation	integer	Binary indicator that the row participates as a chain clause.	integer or documented n/a	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Chain_ID	locked_annotation	text_or_category	Identifier of the clause chain.	See observed values in the released files	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Chain_Index_In_Sentence	locked_annotation	integer	Ordinal position within the chain or sentence.	integer or documented n/a	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
ACT_ARG_NP	locked_annotation	integer	Count of overt core NP arguments used in the RD2 numerator.	integer or documented n/a	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Arg_Type	locked_annotation	text_or_category	Combination of overt core argument roles, such as S, O, or IO.	See observed values in the released files	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
NON_ARG	locked_annotation	integer	Count of annotated non-core dependents.	integer or documented n/a	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Non_Core_Dep_Text	locked_annotation	text_or_category	Surface text of non-core dependents.	See observed values in the released files	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Non_Core_Dep_Coding	locked_annotation	text_or_category	Coding or marker of non-core dependents.	See observed values in the released files	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Subject_Class	locked_annotation	text_or_category	Overt/zero/none subject-realisation class.	none | overt | zero_exalt | zero_other | zero_recoverable | zero_uncertain	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Subject_Person	locked_annotation	integer	Grammatical person of the subject where recoverable.	integer or documented n/a	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Subject_Text	locked_annotation	text_or_category	Surface or recoverable subject referent.	See observed values in the released files	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Subject_Coding	locked_annotation	text_or_category	Morphological coding of the subject.	See observed values in the released files	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Object_Class	locked_annotation	text_or_category	Overt/zero/none direct-object class.	none | overt | zero_exalt | zero_other | zero_recoverable | zero_uncertain	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Object_Text	locked_annotation	text_or_category	Surface or recoverable direct-object referent.	See observed values in the released files	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Object_Coding	locked_annotation	text_or_category	Morphological coding of the direct object.	See observed values in the released files	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Indirect_Object_Class	locked_annotation	text_or_category	Overt/zero/none indirect-object class.	none | overt | zero_exalt | zero_other | zero_recoverable | zero_uncertain	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Indirect_Object_Text	locked_annotation	text_or_category	Surface or recoverable indirect-object referent.	See observed values in the released files	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Indirect_Object_Coding	locked_annotation	text_or_category	Morphological coding of the indirect object.	See observed values in the released files	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Other_Core_Arg_Class	locked_annotation	text_or_category	Overt/zero/none class for another licensed core argument.	none | overt | zero_exalt | zero_other | zero_recoverable | zero_uncertain	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Other_Core_Arg_Text	locked_annotation	text_or_category	Surface or recoverable other core argument.	See observed values in the released files	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Other_Core_Arg_Coding	locked_annotation	text_or_category	Morphological coding of the other core argument.	See observed values in the released files	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
GAP_ACT_ARG	locked_annotation	integer	Count of recoverable syntactic core-argument gaps.	integer or documented n/a	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
GAP_NON_ARG	locked_annotation	integer	Count of recoverable non-core gaps.	integer or documented n/a	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Subject_Zero	locked_annotation	text_or_category	Derived yes/no indicator for a zero subject.	See observed values in the released files	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Clausal_Argument_Count	locked_annotation	integer	Count of clausal arguments selected by the predicate.	integer or documented n/a	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
EXALT_SIG	locked_annotation	integer	Count of referentially significant exaltation devices.	integer or documented n/a	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
EXALT_INSIG	locked_annotation	integer	Count of referentially insignificant exaltation devices.	integer or documented n/a	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
NOM_EXH_MORPH (HON)	locked_annotation	integer	Count/indicator of nominal-exhortative or honorific morphology under the adopted scheme.	integer or documented n/a	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Exaltation_Referential_Target	locked_annotation	text_or_category	Referential target of the exaltation device.	See observed values in the released files	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Exaltation_Form_Type	locked_annotation	text_or_category	Form type of the exaltation device.	See observed values in the released files	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Count_Predicate_RD2	locked_annotation	integer	Binary flag defining inclusion in the primary RD2 predicate denominator.	integer or documented n/a	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Counting_Status	locked_annotation	text_or_category	Explicit include/exclude decision for predicate-based counting.	include | exclude	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Counting_Note	locked_annotation	text_or_category	Auditable note explaining counting or adjudication decisions.	See observed values in the released files	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Topic_Status	locked_annotation	text_or_category	Operationalized discourse-topic status.	topic-introduced | topic-continued | topic-drop | topic-shift | n/a	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Information_Status	locked_annotation	text_or_category	Given/new information classification.	contains_new | all_given | no_overt_NP | n/a	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Quotation_Status	locked_annotation	text_or_category	Role of the clause in quoted content or a quotation frame.	See observed values in the released files	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Sentence_ID	locked_annotation	text_or_category	Sentence-level grouping identifier.	See observed values in the released files	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Is_First_ChainClause	locked_annotation	integer	Binary indicator that the clause is first in a chain.	integer or documented n/a	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Next_Subject_Class	locked_annotation	text_or_category	Subject-realisation class of the following clause.	See observed values in the released files	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Next_Object_Class	locked_annotation	text_or_category	Object-realisation class of the following clause.	See observed values in the released files	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Drop_Subject	locked_annotation	integer	Binary indicator for subject omission under the locked scheme.	integer or documented n/a	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Drop_Object	locked_annotation	integer	Binary indicator for object omission under the locked scheme.	integer or documented n/a	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Segmentation_Confidence	locked_annotation	text_or_category	Confidence level for inherited clause segmentation.	See observed values in the released files	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Annotation_Confidence	locked_annotation	text_or_category	Confidence level for the locked annotation.	See observed values in the released files	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Review_Needed	locked_annotation	text_or_category	Final unresolved-review flag; all released rows must be no.	yes | no	blank, n/a, none, unknown, and uncertain are distinct documented states; no imputation
Comment	locked_annotation	text_or_category	Free-text annotation comment retained from the locked layer.	See observed values in the released files	blank permitted
