File	Source_Alias	Period	Text_Key	Work	Genre_Register	Source_Role	Pair_Group	Rows	Columns	Source_Workbook	Source_Sheet	Source_SHA256	Locked_Input_SHA256	Publication_SHA256	Resolved_Cases	Review_Rows
SM1_OJ_CoS_raw_data_v1.xlsx	SM1_OJ	OJ	SM1	Senmyo	proclamation	original	SM1	52	87	SM1_fin.xlsx	SM1	2bb5f390a87f57a2b0e19e8ad34cd39a4857236057acbb29b8b92c6e60c3a5ec	35166b6a7335926f63915ab9fc452d316521f4e7b9b0509870a8e28d6f74144b	ee7d6b515f47ab9a4da6adf83e663ce9859e95e9301ca4890f4730ae1430578e	none	0
SM2_OJ_CoS_raw_data_v1.xlsx	SM2_OJ	OJ	SM2	Senmyo	proclamation	original	SM2	31	87	SM2_fin.xlsx	SM2	797c753aa69b09f4d0205a8544ec2802f09af0ee3c95a8c89aa6f0adca3fdce2	a640aa51485ce9277b3a982d82a128518a832441cd5678b93f4db789d4584442	edaba50e4d4c9687a94d5850ba351441883d7661bf82d7da0b10449302dc0802	none	0
SM3_OJ_CoS_raw_data_v1.xlsx	SM3_OJ	OJ	SM3	Senmyo	proclamation	original	SM3	75	87	SM3_fin.xlsx	SM3_OJ	829b98aed386bc72a3eb18525fca08ac50f84ee625b91171c9925d94e112d76f	bc28bd8ff6718eb5094233d401b418259acaa355deb1a5cf3af36b994e26274d	61a9273739383cf4fd67314b23c87d4f0e36d52705dd75e3080db0dd2b1cf6be	C0001; C0002	0
MYS2_199_OJ_CoS_raw_data_v1.xlsx	MYS2_199_OJ	OJ	MYS2_199	Manyoshu	choka	original	MYS2_199	80	87	MYS2_199_OJ_fin.xlsx	MYS2_199_OJ	da251a9534bc6ad9063f3eed1906250f4425838ec822b2187206b37a90dfb557	c951b77bd8ebd02533f8a3ff7c6868cbe987c10ca05a9b7774a708f54ca49053	8ea27f14dbe45c9e1fd75227841ddcaf42a6625c76c1222d398af73d43ea0d89	none	0
MYS18_4094b_OJ_CoS_raw_data_v1.xlsx	MYS18_4094b_OJ	OJ	MYS18_4094b	Manyoshu	choka	original	MYS18_4094b	54	87	MYS_18_4094b_OJ_fin.xlsx	MYS_18_4094b	d710ceee47cc190d6efd3e766524e33be0e89535e4dac660c6f798a524386327	c6b90002fc005304dfee78743494d0c68fcf4a7dce69c7eb3da7540bbcaba7e1	a184cd8a781860bbec993869de0397cd0c575458ae82eb15e394d6a766af0692	none	0
NT_Nakatomi_OJ_CoS_raw_data_v1.xlsx	NT_Nakatomi_OJ	OJ	NT_Nakatomi	Norito	ritual	original	NT_Nakatomi	151	87	NT_Nakatomi_OJ_fin.xlsx	NT_Nakatomi_OJ	80131ef1da72d3bc9be15dd3aa49a48190a52b28c4ad42ca9a489d5a299ba798	233b4387893c10c04ef31007d8b0055d95da340eac4af392e9ecc060ff09a818	6c94167bd3f6c771b39a9a8585791dfc26e3d9fbace96ed8155ba02537a8bdea	none	0
Tosa_EMJ_CoS_raw_data_v1.xlsx	Tosa_EMJ	EMJ	Tosa_Nikki	Tosa Nikki	nikki	original	n/a	88	87	Tosa_Nikki_Ch1_EMJ_finegrained_annotation_corrected.xlsx	Tosa_Ch1_EMJ	90f5e0b81f984ebe5fe39df1780ad404128a6f31e840625bc1b7af718ecb801d	141196c5455e258609ed5a60e6145e51886055c3a53e6e5fb98d8dde5c38a4ae	f4127cbdc80ba9c0d49706472cb4f1373146cda55593fd265b4abae8743856fa	none	0
Genji_EMJ_CoS_raw_data_v1.xlsx	Genji_EMJ	EMJ	Genji_Ch1	Genji Monogatari	monogatari	original	n/a	100	87	GM_Ch1_EMJ_finegrained_annotation_corrected.xlsx	GM_Ch1_EMJ	9487f721788b482aae72ce8b1f7fc1e9fe6a87cfe7898e21f1324cf382417785	1220addeda140b248e4815254c9899ad21633a9d81abeac21f460904ff868039	c3a6128d40e8af64d93c14357fe6e608b6976d6d277ca1da3a44a3f4cf501342	none	0
EF_LMJ_CoS_raw_data_v1.xlsx	EF_LMJ	LMJ	EF	Esopo no Fabulas	fable	original	n/a	100	87	EF.xlsx	EF_LMJ	883e43fb71f1bccd7c7e155f3cb58a0c92c93eb4b5a039afdcc8896a96f948a4	30a983461f3c787de5d1498a279a9264ea6e3ac85c8b6953e4b54c4072ff59b7	f8a3e7c7406c9c377bf659d26d661b2e33c2e178df2b5ccec2878b475f74cff9	none	0
Heike_LMJ_CoS_raw_data_v1.xlsx	Heike_LMJ	LMJ	Heike_Ch2	Heike Monogatari	gunki	original	n/a	158	87	Heike_Ch2.xlsx	Heike_Ch2_LMJ	3426a7910cfe2ecf6354e2f2df560f6d99c9bdcf53642750f28434f528bf2178	7b54c0194017a1667652fb199a7c62b8d7b2eb0fae534b459e6b7bc596644494	008a9d39a12e8f4476114855667530491a48ed8005da0b99d3e75ecb8267da56	C0003; C0004; C0005	0
